Serie,Auto,ID,Index,Class,Strecke1,Strecke2,Strecke3,Strecke4,Strecke5,Strecke6
24h15,Audi R8 LMS,6057,80,1703,4247,5298,6586,,,
24h15,Audi R8 LMS Ultra,2037,80,1703,4247,5298,6586,,,
24h15,BMW Alpina B6 GT3,1695,80,1703,4247,5298,6586,,,
24h15,BMW Z4 GT3,1738,80,1703,4247,5298,6586,,,
24h15,Bentley Continental GT3,5170,80,1703,4247,5298,6586,,,
24h15,Chevrolet Camaro GT3,2338,80,1703,4247,5298,6586,,,
24h15,Chevrolet Corvette Z06.R GT3,3626,80,1703,4247,5298,6586,,,
24h15,Ford GT GT3,3754,80,1703,4247,5298,6586,,,
24h15,Ford Mustang GT3,1782,80,1703,4247,5298,6586,,,
24h15,McLaren MP4-12C GT3,1909,80,1703,4247,5298,6586,,,
24h15,Mercedes-Benz SLS AMG GT3,2533,80,1703,4247,5298,6586,,,
24h15,Nissan GT-R GT3,1811,80,1703,4247,5298,6586,,,
24h15,P4-5 Competizione GT3,1821,80,1703,4247,5298,6586,,,
24h15,RUF RT12R GTR3,3516,80,1703,4247,5298,6586,,,
24h15,Audi TT RS VLN,4299,140,5234,4247,5298,6586,,,
24h15,BMW E90 320 TC,2705,145,1922,4247,5298,6586,,,
24h15,Honda Civic WTCC,2728,145,1922,4247,5298,6586,,,
24h15,Seat Leon WTCC,2804,145,1922,4247,5298,6586,,,
24h15,Chevrolet Cruze WTCC,2846,145,1922,4247,5298,6586,,,
24h15,Chevrolet RML Cruze TC1,4046,120,3905,4247,5298,6586,,,
24h15,Citroën C-Elysée WTCC,3899,120,3905,4247,5298,6586,,,
24h15,Honda Civic WTCC 2014,4197,120,3905,4247,5298,6586,,,
24h15,KTM X-Bow GT4,5767,165,5825,4247,5298,6586,,,
24h15,Lotus Evora GT4,7162,165,5825,4247,5298,6586,,,
24h15,Porsche Cayman GT4 CS MR,6623,165,5825,4247,5298,6586,,,
24h15,BMW M235i Racing,6262,201,6344,4247,5298,6586,,,
SCIB,Porsche 911 GT3 Cup (991.2),8166,110,8165,1771,9657,,,,
SCIB,Alpine A110 GT4+,13398,165,5825,1771,9657,,,,
SCIB,Audi R8 LMS GT4 2020,8900,165,5825,1771,9657,,,,
SCIB,BMW M4 GT4 (F82),8053,165,5825,1771,9657,,,,
SCIB,BMW M4 GT4 (G82),12509,165,5825,1771,9657,,,,
SCIB,KTM X-Bow GT4,5767,165,5825,1771,9657,,,,
SCIB,Lotus Evora GT4,7162,165,5825,1771,9657,,,,
SCIB,McLaren 570s GT4,10744,165,5825,1771,9657,,,,
SCIB,Mercedes AMG GT4 2020,9644,165,5825,1771,9657,,,,
SCIB,Porsche 718 Cayman GT4 Clubsport,8201,165,5825,1771,9657,,,,
SCIB,Porsche Cayman GT4 CS MR,6623,165,5825,1771,9657,,,,
SCIB,Alfa Romeo Giulietta TCR,7029,160,7009,1771,9657,,,,
SCIB,Audi RS 3 LMS,7011,160,7009,1771,9657,,,,
SCIB,CUPRA TCR,7005,160,7009,1771,9657,,,,
SCIB,Honda Civic TCR,7125,160,7009,1771,9657,,,,
SCIB,Hyundai i30 N TCR,7117,160,7009,1771,9657,,,,
SCIB,Peugeot 308 TCR,7036,160,7009,1771,9657,,,,
SCIB,Volkswagen Golf GTI TCR,7105,160,7009,1771,9657,,,,
SCIB,Audi RS 3 LMS 2021,11325,160,11317,1771,9657,,,,
SCIB,CUPRA Leon Competición,11323,160,11317,1771,9657,,,,
SCIB,Honda Civic TCR,11320,160,11317,1771,9657,,,,
SCIB,Hyundai Elantra TCR 2022,11318,160,11317,1771,9657,,,,
SCIB,Lynk & Co 03 TCR,11328,160,11317,1771,9657,,,,
SCIB,Audi RS 3 LMS,10578,160,8660,1771,9657,,,,
SCIB,CUPRA Leon Competición,8726,160,8660,1771,9657,,,,
SCIB,Honda Civic TCR,10441,160,8660,1771,9657,,,,
Tourenwagen_Legenden,AMG-Mercedes CLK DTM,7169,51,7167,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,AMG-Mercedes CLK-DTM 2002,13265,51,13264,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,ABT-Audi TT-R,13312,51,13264,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Opel Astra V8 Coupé,13323,51,13264,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,AMG-Mercedes C-Klasse DTM,7076,95,7075,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Alfa Romeo 155 Ti DTM 1995,12850,95,7075,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Opel Calibra V6 DTM,12839,95,7075,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,AMG-Mercedes C-Klasse DTM 2005,7183,45,7168,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,BMW 320 Turbo,1700,100,1708,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Chevrolet Corvette Greenwood 1977,4075,100,1708,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Chevrolet Dekon Monza,4145,100,1708,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Fabcar 935,2859,100,1708,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Nissan Silvia Turbo,1815,100,1708,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Nissan Skyline 2000RS,1818,100,1708,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Zakspeed Capri,2044,100,1708,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Audi V8 DTM,3662,155,3499,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,BMW M3 Sport Evolution,3549,155,3499,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Ford Mustang GT DTM,3842,155,3499,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Mercedes 190E Evo II DTM,3539,155,3499,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Opel Omega 3000 Evo500,3874,155,3499,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Alfa Romeo 156 Super Touring,13049,161,1710,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Audi A4 Super Touring 1995,12561,161,1710,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,BMW 320i E36 Super Touring,12556,161,1710,1690,2020,7818,3869,1692,10781
Tourenwagen_Legenden,Honda Accord Super Touring,8645,161,1710,1690,2020,7818,3869,1692,10781
